D;Var;rep;P;Prow;Pnr;row;pl;inpl;Ex;alaph;aph;aphtot;nas;macr;cat;wf
16.05.2018;SFB;S;14;1;7;1;5;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;1;10;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;1;15;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;1;20;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;4;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;4;5;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;4;10;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;4;15;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;4;20;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;5;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;5;5;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;5;10;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;5;15;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;5;20;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;8;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;8;5;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;8;10;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;8;15;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;8;20;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;9;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;9;5;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;9;10;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;9;15;1;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;9;20;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;12;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;12;5;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;12;10;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;12;15;0;0;0;0;0;0;0;0;0
16.05.2018;SFB;S;14;1;7;12;20;0;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;1;1;0;0;0;9;9;9;0;0;0
16.05.2018;SFG;M;15;2;3;1;5;0;0;0;5;5;5;0;0;0
16.05.2018;SFG;M;15;2;3;1;10;0;0;1;10;11;11;0;0;0
16.05.2018;SFG;M;15;2;3;1;15;0;0;0;6;6;0;6;0;0
16.05.2018;SFG;M;15;2;3;1;20;0;0;0;5;5;5;0;0;0
16.05.2018;SFG;M;15;2;3;4;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;4;5;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;4;10;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;4;15;1;0;2;6;8;8;0;0;0
16.05.2018;SFG;M;15;2;3;4;20;0;0;1;15;16;16;0;0;0
16.05.2018;SFG;M;15;2;3;5;1;0;0;0;1;1;1;0;0;0
16.05.2018;SFG;M;15;2;3;5;5;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;5;10;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;5;15;1;0;3;12;15;15;0;0;0
16.05.2018;SFG;M;15;2;3;5;20;0;0;0;3;3;3;0;0;0
16.05.2018;SFG;M;15;2;3;8;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;8;5;1;0;1;6;7;7;0;0;0
16.05.2018;SFG;M;15;2;3;8;10;1;0;0;0;0;0;0;0;1
16.05.2018;SFG;M;15;2;3;8;15;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;8;20;0;0;0;1;1;0;1;0;0
16.05.2018;SFG;M;15;2;3;9;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;9;5;1;0;1;7;8;8;0;0;0
16.05.2018;SFG;M;15;2;3;9;10;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;9;15;1;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;9;20;0;0;0;12;12;12;0;0;0
16.05.2018;SFG;M;15;2;3;12;1;0;0;0;0;0;0;0;0;0
16.05.2018;SFG;M;15;2;3;12;5;0;0;1;2;3;3;0;0;0
16.05.2018;SFG;M;15;2;3;12;10;0;0;0;0;0;0;0;0;1
16.05.2018;SFG;M;15;2;3;12;15;0;0;1;18;19;1;18;0;0
16.05.2018;SFG;M;15;2;3;12;20;0;0;1;57;58;1;57;0;0
