D;Var;rep;P;Prow;Pnr;row;pl;inpl;Ex;alaph;aph;aphtot;nas;macr;cat;wf;syr;ori;coc
20.06.2018;PEB;N;3;2;1;12;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;N;3;2;1;12;5;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;N;3;2;1;12;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;N;3;2;1;12;15;0;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;N;3;2;1;12;20;0;0;0;0;0;0;0;0;0;0;1;0
20.06.2018;SFB;N;4;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;1;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;1;15;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;1;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;4;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;4;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;4;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;4;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;5;5;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;5;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;5;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;5;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;8;1;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;8;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;8;10;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;8;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;8;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;9;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;9;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;9;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;9;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;9;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;12;1;0;0;0;0;0;0;0;0;0;0;1;0
20.06.2018;SFB;N;4;1;2;12;5;0;0;0;0;0;0;0;0;0;0;1;0
20.06.2018;SFB;N;4;1;2;12;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;12;15;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;N;4;1;2;12;20;0;0;0;0;0;0;0;1;0;0;0;0
20.06.2018;NF;N;5;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;1;10;0;1;0;0;0;0;0;0;0;1;0;0
20.06.2018;NF;N;5;2;2;1;15;0;1;0;0;0;0;0;0;0;1;0;0
20.06.2018;NF;N;5;2;2;1;20;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;4;1;0;0;0;0;0;0;0;0;0;0;1;0
20.06.2018;NF;N;5;2;2;4;5;1;0;0;0;0;0;0;0;0;0;1;1
20.06.2018;NF;N;5;2;2;4;10;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;4;15;1;0;0;0;0;0;0;0;0;0;0;1
20.06.2018;NF;N;5;2;2;4;20;0;0;0;0;0;0;0;0;0;1;0;0
20.06.2018;NF;N;5;2;2;5;1;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;5;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;5;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;5;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;5;20;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;8;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;8;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;8;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;8;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;8;20;0;1;1;1;2;2;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;9;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;9;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;9;10;1;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;9;15;1;1;0;0;0;0;0;0;0;0;0;1
20.06.2018;NF;N;5;2;2;9;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;12;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;12;5;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;12;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;12;15;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;NF;N;5;2;2;12;20;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;1;5;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;1;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;1;15;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;1;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;4;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;4;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;4;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;4;20;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;5;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;5;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;5;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;5;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;5;20;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;8;1;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;8;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;8;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;8;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;8;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;9;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;9;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;9;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;9;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;9;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;12;1;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;12;5;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;12;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;12;15;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFB;M;6;2;4;12;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;1;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;1;15;0;1;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;1;20;0;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;4;1;0;0;0;1;1;1;0;0;0;1;0;0
20.06.2018;PEB;M;7;1;3;4;5;1;0;0;0;0;0;0;0;0;0;1;0
20.06.2018;PEB;M;7;1;3;4;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;4;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;4;20;0;0;0;0;0;0;0;0;0;0;1;1
20.06.2018;PEB;M;7;1;3;5;1;0;0;3;1;4;4;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;5;5;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEB;M;7;1;3;5;10;1;0;0;0;0;0;0;1;0;0;0;0
